FILENAME:	2bb015_9.txt
TITLE:	AFC Filter 01 ZnS Test Piece Sample 2BB @ 15K, 2.6°i, In f/8 (CDCR 04791/04797, SMCR 01930)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 01 (N-Band) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	20-Aug-2001
AUTHOR:	Richard Sherwood
CHANNEL:	01
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
1.429	1.03386
1.430	-1.69195
1.431	1.79678
1.432	1.64262
1.433	0.73490
1.434	1.65190
1.435	2.57942
1.436	2.10490
1.437	0.09724
1.438	-0.89661
1.439	0.74003
1.440	1.43447
1.441	-0.50576
1.442	-0.16368
1.443	0.37637
1.444	1.67617
1.445	-0.88166
1.446	1.79118
1.447	0.25142
1.448	1.31027
1.449	1.50957
1.450	-1.35471
1.451	-0.67359
1.452	0.45456
1.453	-0.71576
1.454	0.66931
1.455	-0.71196
1.456	0.08023
1.457	-0.23103
1.458	0.60185
1.459	0.22891
1.460	0.83135
1.461	0.65044
1.462	-2.41586
1.463	1.97944
1.464	0.53415
1.465	2.06189
1.466	1.56392
1.467	-0.05032
1.468	0.52531
1.469	1.66568
1.470	-1.05421
1.471	0.39127
1.472	1.77380
1.473	1.05727
1.474	1.93054
1.475	1.99373
1.476	2.11407
1.477	0.41552
1.478	-0.61667
1.479	0.65529
1.480	1.07042
1.481	-0.70896
1.482	0.60377
1.483	0.95791
1.484	0.13457
1.485	2.25143
1.486	1.12612
1.487	1.04665
1.488	1.29142
1.489	4.13715
1.490	0.81749
1.491	-0.53003
1.492	-0.52197
1.493	-0.66546
1.494	0.99086
1.495	1.70657
1.496	-0.15455
1.497	-1.47347
1.498	-0.86176
1.499	-1.67461
1.500	1.49791
1.501	-0.88173
1.502	-0.38218
1.503	0.11822
1.504	0.24493
1.505	-0.29137
1.506	0.17087
1.507	-0.25400
1.508	0.64762
1.509	-1.02449
1.510	-0.00574
1.511	-0.41255
1.512	-0.04397
1.513	0.18841
1.514	1.79980
1.515	1.06161
1.516	0.55832
1.517	1.41112
1.518	0.91685
1.519	-1.21008
1.520	0.09756
1.521	-0.46298
1.522	-0.41698
1.523	0.85830
1.524	0.33382
1.525	0.25399
1.526	1.92171
1.527	0.05881
1.528	1.01595
1.529	0.19600
1.530	1.43769
1.531	-1.96886
1.532	-0.70624
1.533	-1.10584
1.534	-0.57337
1.535	-0.06580
1.536	-0.91076
1.537	-0.39930
1.538	1.23027
1.539	0.44601
1.540	1.05356
1.541	0.51236
1.542	1.14843
1.543	0.00068
1.544	2.77735
1.545	0.49464
1.546	1.49735
1.547	0.98788
1.548	2.06552
1.549	1.29627
1.550	-0.03254
1.551	0.16689
1.552	0.13841
1.553	0.27492
1.554	0.65908
1.555	-0.40268
1.556	0.03679
1.557	1.31214
1.558	1.49836
1.559	0.40321
1.560	-0.29488
1.561	-0.68234
1.562	0.89250
1.563	1.05811
1.564	1.69662
1.565	-0.19338
1.566	0.78344
1.567	1.28610
1.568	0.92370
1.569	0.48781
1.570	0.74304
1.571	0.06825
1.572	-0.76638
1.573	1.24680
1.574	0.31183
1.575	0.51784
1.576	-0.84544
1.577	-0.79505
1.578	-0.32500
1.579	-0.44941
1.580	-0.06845
1.581	0.22199
1.582	-1.72873
1.583	0.44826
1.584	0.41081
1.585	-0.34235
1.586	-0.72302
1.587	0.15599
1.588	0.19791
1.589	1.03887
1.590	-0.10294
1.591	-0.24105
1.592	-0.65308
1.593	0.56226
1.594	-0.43835
1.595	1.21694
1.596	-0.48185
1.597	0.16774
1.598	0.17339
1.599	0.31934
1.600	0.29736
1.601	0.12750
1.602	0.63292
1.603	-1.71145
1.604	-0.38157
1.605	-0.43178
1.606	1.61926
1.607	1.22624
1.608	0.22838
1.609	1.20902
1.610	0.18870
1.611	0.81542
1.612	1.38847
1.613	0.71135
1.614	0.30820
1.615	0.64998
1.616	0.36519
1.617	-0.01901
1.618	1.27375
1.619	0.24937
1.620	0.02196
1.621	0.49554
1.622	0.35841
1.623	1.20773
1.624	0.40700
1.625	0.76457
1.626	-0.54365
1.627	-0.13897
1.628	0.11686
1.629	0.41997
1.630	0.36220
1.631	-0.55337
1.632	1.15695
1.633	-0.18096
1.634	0.79475
1.635	-0.04264
1.636	0.23727
1.637	0.33586
1.638	-0.47108
1.639	0.16011
1.640	0.17142
1.641	0.87629
1.642	0.84231
1.643	0.49438
1.644	-0.22432
1.645	-1.38495
1.646	0.14951
1.647	-0.20067
1.648	0.46591
1.649	-0.14091
1.650	-0.11770
1.651	-0.53503
1.652	0.17913
1.653	0.90438
1.654	-0.13625
1.655	-0.62265
1.656	-0.24738
1.657	-0.40402
1.658	0.08567
1.659	-0.06704
1.660	0.23376
1.661	0.30376
1.662	-0.13915
1.663	-0.06471
1.664	0.40313
1.665	-0.22324
1.666	0.19225
1.667	-0.02065
1.668	0.04343
1.669	-0.26961
1.670	-0.01520
1.671	0.33089
1.672	0.47681
1.673	0.26189
1.674	0.12011
1.675	0.19040
1.676	0.24023
1.677	-0.14014
1.678	0.11249
1.679	0.35137
1.680	0.46662
1.681	-0.01511
1.682	0.48825
1.683	-0.05369
1.684	0.22724
1.685	0.37364
1.686	0.30590
1.687	-0.96535
1.688	-0.18534
1.689	-0.00049
1.690	0.11536
1.691	0.08152
1.692	-0.14399
1.693	0.50353
1.694	0.39121
1.695	-0.09647
1.696	0.21675
1.697	0.05811
1.698	0.15008
1.699	-0.07515
1.700	0.13320
1.701	-0.23558
1.702	0.22703
1.703	0.05486
1.704	0.07610
1.705	0.44167
1.706	0.51882
1.707	0.03721
1.708	0.58636
1.709	0.21468
1.710	0.23625
1.711	0.25231
1.712	0.38015
1.713	0.31878
1.714	0.14058
1.715	0.25805
1.716	0.25309
1.717	-0.10080
1.718	0.17560
1.719	0.01645
1.720	0.10345
1.721	0.15761
1.722	0.25457
1.723	0.14030
1.724	-0.17560
1.725	0.03829
1.726	0.00042
1.727	0.10026
1.728	0.23489
1.729	0.03022
1.730	0.48157
1.731	-0.42546
1.732	-0.35497
1.733	-0.18966
1.734	0.21678
1.735	-0.37717
1.736	0.15067
1.737	0.38448
1.738	0.40791
1.739	0.43001
1.740	0.09326
1.741	0.23206
1.742	0.56168
1.743	-0.14132
1.744	0.30188
1.745	0.03957
1.746	-0.22710
1.747	0.06433
1.748	0.45291
