FILENAME:	2bj01516.txt
TITLE:	AFC Filter 11 ZnS Test Piece Sample 2BJ @ 15K, 2.6°i, In f/8 (CDCR 04752/04755, SMCR 01893)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 11 (NeII) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	12-Jul-2001
AUTHOR:	Richard Sherwood
CHANNEL:	11
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
1.429	-2.05837
1.430	-2.62407
1.431	-0.83743
1.432	2.11992
1.433	1.65704
1.434	1.67385
1.435	1.56803
1.436	1.62552
1.437	0.21018
1.438	1.38895
1.439	1.05560
1.440	1.11181
1.441	1.92680
1.442	0.62946
1.443	1.19166
1.444	-1.62401
1.445	3.12933
1.446	1.37386
1.447	4.38855
1.448	1.20104
1.449	0.03834
1.450	0.42992
1.451	2.13846
1.452	-1.69244
1.453	-0.18023
1.454	-1.19503
1.455	-1.34599
1.456	-0.90145
1.457	-0.06614
1.458	1.62168
1.459	-0.91152
1.460	-1.12063
1.461	0.42612
1.462	4.35347
1.463	0.32901
1.464	-0.39575
1.465	0.78131
1.466	1.44937
1.467	-0.09323
1.468	0.83551
1.469	0.01965
1.470	-1.39477
1.471	0.46893
1.472	1.11773
1.473	-0.27500
1.474	0.14877
1.475	1.31068
1.476	0.18200
1.477	1.96706
1.478	-0.19791
1.479	1.62765
1.480	-1.47416
1.481	1.42149
1.482	0.38527
1.483	-0.17660
1.484	1.06123
1.485	0.06719
1.486	0.80086
1.487	-1.51063
1.488	-0.05575
1.489	-1.84325
1.490	-0.19448
1.491	1.67405
1.492	-0.62988
1.493	-0.83436
1.494	-1.29306
1.495	-1.04017
1.496	1.92194
1.497	1.06903
1.498	-1.99947
1.499	-1.01687
1.500	0.92382
1.501	-0.55566
1.502	1.71003
1.503	1.26041
1.504	1.59835
1.505	0.65338
1.506	0.10774
1.507	1.44390
1.508	0.59633
1.509	-0.16406
1.510	2.37760
1.511	1.10441
1.512	1.25761
1.513	-0.24127
1.514	2.78471
1.515	0.21932
1.516	1.04350
1.517	0.52342
1.518	-1.70463
1.519	1.03417
1.520	1.89420
1.521	-2.66310
1.522	-0.30510
1.523	0.39644
1.524	1.29633
1.525	0.97822
1.526	-1.53312
1.527	1.36752
1.528	-0.62916
1.529	-1.09238
1.530	-4.11964
1.531	0.16523
1.532	1.29700
1.533	1.95869
1.534	1.79615
1.535	1.07635
1.536	-0.16755
1.537	0.66742
1.538	0.20285
1.539	-1.59705
1.540	1.60271
1.541	-0.71037
1.542	-0.80169
1.543	-0.68601
1.544	-0.61720
1.545	2.83775
1.546	0.11861
1.547	-1.01506
1.548	-0.17947
1.549	0.58438
1.550	-1.43928
1.551	-0.94434
1.552	0.58898
1.553	1.37631
1.554	0.93554
1.555	-0.53196
1.556	0.24145
1.557	1.61675
1.558	-2.02136
1.559	-0.42112
1.560	1.96076
1.561	-0.16221
1.562	-0.45732
1.563	1.51294
1.564	0.06882
1.565	-0.31358
1.566	-0.46855
1.567	-3.12753
1.568	0.37710
1.569	-0.12485
1.570	-0.64178
1.571	0.19891
1.572	0.32770
1.573	0.19005
1.574	-1.51234
1.575	2.24592
1.576	0.03701
1.577	1.38826
1.578	-0.01998
1.579	-1.32593
1.580	-0.83198
1.581	1.05874
1.582	-0.29715
1.583	-0.23483
1.584	1.51069
1.585	1.14975
1.586	0.24033
1.587	0.55247
1.588	-0.12495
1.589	-0.07221
1.590	0.95071
1.591	-0.00606
1.592	-1.02598
1.593	-0.46671
1.594	0.15936
1.595	1.20360
1.596	1.22423
1.597	1.12086
1.598	0.41561
1.599	-0.78142
1.600	-1.06978
1.601	0.19985
1.602	1.25552
1.603	-1.69876
1.604	-0.80776
1.605	0.16926
1.606	-0.43167
1.607	-1.16419
1.608	0.91428
1.609	2.85427
1.610	0.41482
1.611	0.26708
1.612	0.54508
1.613	1.18402
1.614	0.60208
1.615	1.12455
1.616	0.46551
1.617	-0.39508
1.618	-0.93543
1.619	1.78655
1.620	0.06992
1.621	0.67559
1.622	0.60607
1.623	0.75258
1.624	-0.89036
1.625	0.25859
1.626	0.12656
1.627	0.04938
1.628	0.31789
1.629	-0.61069
1.630	-0.25455
1.631	-0.13860
1.632	0.17197
1.633	-0.51254
1.634	0.54075
1.635	0.24981
1.636	0.10071
1.637	0.58074
1.638	0.06859
1.639	0.42555
1.640	-0.57997
1.641	0.45502
1.642	0.40121
1.643	0.17379
1.644	0.63767
1.645	-1.95211
1.646	-0.32661
1.647	-1.68731
1.648	0.56314
1.649	-0.39863
1.650	0.08191
1.651	-0.36700
1.652	0.42684
1.653	0.05320
1.654	0.07347
1.655	-0.41932
1.656	0.19990
1.657	0.78991
1.658	0.01409
1.659	-0.04454
1.660	0.01420
1.661	-0.53229
1.662	1.18990
1.663	0.96451
1.664	0.10007
1.665	-0.42767
1.666	0.40968
1.667	1.16570
1.668	0.27071
1.669	-0.10669
1.670	0.50470
1.671	0.21523
1.672	0.24784
1.673	-1.01765
1.674	0.56681
1.675	-0.01689
1.676	0.39387
1.677	0.10910
1.678	-0.54599
1.679	0.40332
1.680	0.16487
1.681	-0.36339
1.682	-0.17953
1.683	-0.08892
1.684	-0.37653
1.685	0.33409
1.686	0.74765
1.687	-0.47750
1.688	0.16700
1.689	-0.12092
1.690	0.47150
1.691	-0.29380
1.692	0.04978
1.693	-0.14292
1.694	0.37996
1.695	0.14178
1.696	0.52929
1.697	0.29439
1.698	-0.09542
1.699	0.24939
1.700	0.20897
1.701	-0.25608
1.702	-0.38702
1.703	0.15398
1.704	0.10015
1.705	-0.10734
1.706	0.52346
1.707	-0.04405
1.708	0.97722
1.709	-0.03545
1.710	0.13817
1.711	-0.24345
1.712	-0.60496
1.713	0.93756
1.714	-0.17383
1.715	-0.61721
1.716	0.25684
1.717	0.41692
1.718	0.10280
1.719	0.37600
1.720	-0.15596
1.721	0.17983
1.722	-0.08504
1.723	-0.02620
1.724	0.43516
1.725	0.25105
1.726	-0.13445
1.727	-0.01195
1.728	0.56572
1.729	0.07316
1.730	0.40806
1.731	-0.33939
1.732	-0.87036
1.733	-0.36516
1.734	0.01241
1.735	0.06575
1.736	0.23411
1.737	0.23665
1.738	0.23215
1.739	-0.33789
1.740	0.29186
1.741	0.06787
1.742	-0.09617
1.743	0.27033
1.744	-0.62340
1.745	0.11815
1.746	0.20023
1.747	-0.26259
1.748	0.58612
1.749	0.24705
1.750	0.54862
1.751	-0.21901
1.752	0.28481
1.753	0.58903
1.754	0.57040
1.755	0.47631
