#Lambda	Flux
1.429	0.44481
1.430	0.31922
1.431	-0.31882
1.432	0.37550
1.433	0.63982
1.434	-0.14752
1.435	-0.02746
1.436	0.00784
1.437	-0.10654
1.438	0.01835
1.439	0.01544
1.440	0.36060
1.441	0.38667
1.442	0.30948
1.443	0.07320
1.444	-0.21866
1.445	-0.14724
1.446	-0.00315
1.447	0.14894
1.448	0.16137
1.449	0.04165
1.450	0.43169
1.451	-0.31416
1.452	0.14419
1.453	0.26644
1.454	0.40340
1.455	0.31684
1.456	0.11413
1.457	-0.09628
1.458	0.36106
1.459	0.20306
1.460	-0.00494
1.461	-0.60285
1.462	-2.67612
1.463	0.34687
1.464	0.02315
1.465	1.29136
1.466	0.24927
1.467	0.45724
1.468	0.42974
1.469	0.35662
1.470	0.67269
1.471	0.35976
1.472	0.44098
1.473	0.38272
1.474	0.05914
1.475	0.04412
1.476	0.44694
1.477	0.55601
1.478	0.29889
1.479	0.33139
1.480	0.46506
1.481	0.41393
1.482	0.21169
1.483	0.13863
1.484	0.35479
1.485	0.19276
1.486	0.15060
1.487	0.45102
1.488	-0.13025
1.489	0.03867
1.490	0.19642
1.491	0.30076
1.492	0.20400
1.493	-0.20356
1.494	-0.01101
1.495	1.00217
1.496	-0.23004
1.497	-0.27034
1.498	0.35724
1.499	-0.08139
1.500	-0.10872
1.501	0.22038
1.502	-0.07437
1.503	0.01614
1.504	-0.06581
1.505	0.18439
1.506	0.40035
1.507	0.26508
1.508	-0.09011
1.509	0.00774
1.510	0.23117
1.511	0.48456
1.512	-0.08507
1.513	0.15265
1.514	0.47650
1.515	-0.03792
1.516	-0.10219
1.517	-0.08979
1.518	0.20196
1.519	-0.08510
1.520	0.21650
1.521	-0.06386
1.522	0.00535
1.523	-0.07040
1.524	0.07017
1.525	0.06110
1.526	-0.07317
1.527	0.31611
1.528	-0.01053
1.529	-0.29426
1.530	-1.38995
1.531	-0.13919
1.532	0.18195
1.533	0.53761
1.534	0.19702
1.535	-0.05612
1.536	0.20882
1.537	0.21187
1.538	0.02600
1.539	0.20299
1.540	-0.27959
1.541	0.11996
1.542	0.07976
1.543	0.16600
1.544	0.02288
1.545	0.18134
1.546	-0.07343
1.547	-0.01166
1.548	-0.15517
1.549	-0.00782
1.550	0.02460
1.551	-0.01965
1.552	-0.24078
1.553	-0.12311
1.554	0.07428
1.555	0.29364
1.556	0.17383
1.557	0.25918
1.558	-0.09262
1.559	0.17855
1.560	0.09504
1.561	-0.28328
1.562	0.12427
1.563	-0.18265
1.564	-0.14618
1.565	0.10804
1.566	-0.37377
1.567	0.73484
1.568	0.18538
1.569	0.52429
1.570	-0.25503
1.571	-0.08254
1.572	-0.08638
1.573	0.07436
1.574	-0.14722
1.575	-0.04694
1.576	-0.05413
1.577	-0.22658
1.578	0.03747
1.579	0.00799
1.580	0.18260
1.581	0.08355
1.582	0.06052
1.583	0.13193
1.584	0.07369
1.585	-0.00540
1.586	0.52964
1.587	-0.06841
1.588	0.23883
1.589	0.07672
1.590	0.33373
1.591	-0.21083
1.592	-0.04872
1.593	0.13953
1.594	0.29103
1.595	-0.00339
1.596	0.08806
1.597	-0.07551
1.598	0.12413
1.599	-0.14336
1.600	-0.20180
1.601	-0.14612
1.602	-0.19140
1.603	-0.14604
1.604	-0.17402
1.605	0.48940
1.606	0.10958
1.607	-0.16823
1.608	0.11688
1.609	0.13212
1.610	-0.08342
1.611	0.16824
1.612	0.14326
1.613	0.33173
1.614	0.15384
1.615	0.13586
1.616	0.19047
1.617	0.18266
1.618	-0.10172
1.619	0.14781
1.620	0.38036
1.621	-0.04600
1.622	0.29826
1.623	0.27751
1.624	-0.09569
1.625	0.16248
1.626	0.09046
1.627	-0.08616
1.628	0.18397
1.629	-0.05160
1.630	0.15984
1.631	-0.07401
1.632	0.19260
1.633	0.05276
1.634	0.08761
1.635	0.21803
1.636	0.04608
1.637	-0.00776
1.638	0.06576
1.639	0.14943
1.640	-0.00856
1.641	0.16842
1.642	0.10697
1.643	0.21230
1.644	0.34398
1.645	-0.71293
1.646	-0.22982
1.647	-0.01496
1.648	-0.22075
1.649	-0.01434
1.650	0.08410
1.651	-0.07238
1.652	-0.06145
1.653	-0.14056
1.654	0.12175
1.655	0.04044
1.656	0.01488
1.657	0.00569
1.658	0.09489
1.659	-0.04490
1.660	-0.07193
1.661	-0.02436
1.662	0.04342
1.663	0.00550
1.664	0.02734
1.665	-0.05812
1.666	-0.11929
1.667	-0.00444
1.668	0.03361
1.669	0.00964
1.670	-0.01483
1.671	0.13702
1.672	0.07296
1.673	0.13420
1.674	0.07347
1.675	0.10671
1.676	-0.02434
1.677	0.00879
1.678	0.06752
1.679	0.01030
1.680	0.01691
1.681	0.06855
1.682	0.02244
1.683	0.06148
1.684	0.09259
1.685	0.02125
1.686	0.15835
1.687	-0.09163
1.688	-0.08255
1.689	-0.04712
1.690	-0.02659
1.691	-0.23015
1.692	0.01584
1.693	0.07550
1.694	-0.01825
1.695	-0.07471
1.696	0.04973
1.697	0.03241
1.698	0.05169
1.699	-0.06950
1.700	-0.00606
1.701	0.04531
1.702	-0.03828
1.703	-0.06683
1.704	0.02920
1.705	0.04771
1.706	-0.03951
1.707	0.03229
1.708	-0.02566
1.709	0.06410
1.710	0.03197
1.711	0.05910
1.712	0.03092
1.713	-0.07760
1.714	0.02574
1.715	-0.05793
1.716	-0.01963
1.717	0.04882
1.718	0.01276
1.719	-0.06234
1.720	-0.02923
1.721	-0.05739
1.722	-0.09584
1.723	-0.02035
1.724	0.01615
1.725	-0.00597
1.726	0.05724
1.727	0.11253
1.728	0.00793
1.729	0.01892
1.730	0.05886
1.731	0.19158
1.732	0.00064
1.733	-0.04151
1.734	-0.04251
1.735	-0.11229
1.736	0.02711
1.737	0.05328
1.738	0.08248
1.739	-0.03035
1.740	0.08667
1.741	0.08956
1.742	0.12231
1.743	0.03282
1.744	-0.02750
1.745	0.10303
1.746	0.03399
1.747	0.10926
1.748	0.06405
1.749	0.03765
1.750	-0.03275
1.751	-0.03749
1.752	0.07539
1.753	0.03919
1.754	-0.00578
1.755	0.12028
1.756	-0.01800
1.757	0.02053
1.758	0.04849
1.759	0.10475
1.760	0.03741
1.761	0.10501
1.762	-0.08857
1.763	0.03694
1.764	-0.00461
1.765	0.01537
1.766	0.00080
1.767	0.04281
1.768	0.05125
1.769	0.06091
1.770	0.14975
1.771	-0.00453
1.772	0.10885
1.773	0.04144
1.774	0.07907
1.775	0.07984
1.776	0.06159
1.777	0.10299
1.778	0.70149
1.779	-0.17789
1.780	-0.04701
1.781	0.00166
1.782	0.04356
1.783	-0.18489
1.784	-0.07996
1.785	-0.03940
1.786	-0.00828
1.787	-0.09609
1.788	0.02293
1.789	0.03450
1.790	-0.01024
1.791	-0.01621
1.792	-0.02750
1.793	0.01092
1.794	0.00153
1.795	0.02803
1.796	-0.00726
1.797	-0.01637
1.798	-0.01397
1.799	0.03845
1.800	-0.02847
1.801	0.02091
1.802	-0.00999
1.803	-0.00909
1.804	-0.04843
1.805	0.05505
1.806	-0.04720
1.807	0.05500
1.808	-0.02356
1.809	0.00571
1.810	0.02566
1.811	0.06478
1.812	0.00678
1.813	0.07838
1.814	0.02464
1.815	0.06637
1.816	-0.04650
1.817	0.00308
1.818	0.00266
1.819	0.06918
1.820	0.03666
1.821	0.01283
1.822	0.06535
1.823	0.05124
1.824	0.05958
1.825	0.01517
1.826	-0.04198
1.827	0.14570
1.828	-0.08824
1.829	0.03623
1.830	-0.06170
1.831	0.00720
1.832	0.01414
1.833	0.04710
1.834	0.04071
1.835	0.05241
1.836	0.00722
1.837	-0.00741
1.838	0.03008
1.839	0.04394
1.840	0.06234
1.841	0.03012
1.842	0.02331
1.843	-0.01285
1.844	-0.00617
1.845	0.05700
1.846	-0.08400
1.847	-0.04008
1.848	-0.04912
1.849	0.01659
1.850	-0.04915
1.851	-0.00673
1.852	-0.06541
1.853	-0.04083
1.854	0.03100
1.855	-0.04781
1.856	0.00336
1.857	-0.05282
1.858	-0.02955
1.859	0.04714
1.860	0.05178
1.861	-0.00148
1.862	0.00355
1.863	0.00271
1.864	-0.04585
1.865	0.03959
1.866	0.01956
1.867	-0.01103
1.868	-0.03818
1.869	-0.05337
1.870	0.07268
1.871	0.08347
1.872	0.00568
1.873	0.08437
1.874	0.01298
1.875	-0.01042
1.876	0.01532
1.877	0.03976
1.878	-0.02396
1.879	0.03958
1.880	0.03054
1.881	0.03675
1.882	0.00503
1.883	-0.00912
1.884	-0.03434
1.885	0.00882
1.886	0.03653
1.887	-0.02099
1.888	0.03530
1.889	0.02281
1.890	-0.01655
1.891	0.00280
1.892	0.04053
1.893	0.03878
1.894	-0.01899
1.895	-0.00537
1.896	0.01174
1.897	-0.00114
1.898	-0.00966
1.899	0.01564
1.900	0.04290
1.901	0.04036
1.902	-0.00740
1.903	0.01411
1.904	0.05446
1.905	0.01607
1.906	0.05431
1.907	0.01050
1.908	-0.00031
1.909	-0.01153
1.910	-0.01696
1.911	-0.04358
1.912	-0.03813
1.913	0.03773
1.914	-0.01623
1.915	0.04517
1.916	0.00824
1.917	0.03061
1.918	0.07148
1.919	0.00212
1.920	-0.01386
1.921	-0.04202
1.922	-0.00809
1.923	-0.00550
1.924	-0.02137
1.925	0.02897
1.926	0.00079
1.927	0.01114
1.928	-0.02006
1.929	-0.00207
1.930	0.01152
1.931	0.03123
1.932	0.02455
1.933	0.04546
1.934	0.06734
1.935	-0.31000
1.936	-0.00242
1.937	-0.03894
1.938	-0.00238
1.939	-0.02732
1.940	-0.05041
1.941	0.06342
1.942	0.04525
1.943	0.04019
1.944	0.04436
1.945	0.01828
1.946	0.02916
1.947	0.02778
1.948	-0.02371
1.949	0.01752
1.950	0.03761
1.951	0.04047
1.952	0.03253
1.953	0.07923
1.954	0.03150
1.955	-0.00202
1.956	-0.00924
1.957	0.03885
1.958	0.01313
1.959	0.00466
1.960	0.02007
1.961	0.04166
1.962	0.00441
1.963	-0.01730
1.964	0.03063
1.965	0.03352
1.966	0.03182
1.967	0.00990
1.968	0.01431
1.969	0.00050
1.970	0.03314
1.971	0.02678
1.972	0.01371
1.973	0.00895
1.974	-0.00118
1.975	0.02876
1.976	-0.03930
1.977	-0.00159
1.978	0.02339
1.979	-0.02195
1.980	0.03285
1.981	0.02049
1.982	0.03292
1.983	0.01570
1.984	-0.00913
1.985	0.03267
1.986	0.03898
1.987	0.02084
1.988	-0.01086
1.989	0.02972
1.990	0.05329
1.991	0.01419
1.992	0.00361
1.993	0.02232
1.994	0.06362
1.995	0.08214
1.996	0.06978
1.997	0.04615
1.998	0.05315
1.999	-0.00568
2.000	-0.08337
2.001	-0.02703
2.002	-0.00808
2.003	-0.00279
2.004	-0.00481
2.005	0.02397
2.006	0.04353
2.007	-0.00488
2.008	-0.00102
2.009	0.00303
2.010	-0.00246
2.011	0.01995
2.012	-0.00462
2.013	0.02203
2.014	-0.02392
2.015	0.01875
2.016	-0.00546
2.017	-0.01740
2.018	-0.01010
2.019	-0.00096
2.020	-0.00287
2.021	-0.05504
2.022	-0.01819
2.023	0.00566
2.024	0.03432
2.025	0.00345
2.026	0.00352
2.027	-0.04688
