#Lambda	Flux
1.429	0.78003
1.430	-0.06170
1.431	0.23250
1.432	-0.06973
1.433	-0.81749
1.434	-0.24092
1.435	-0.30162
1.436	0.16439
1.437	-0.02992
1.438	-0.06153
1.439	-0.01150
1.440	0.21465
1.441	0.03198
1.442	0.10542
1.443	-0.36337
1.444	-0.14371
1.445	0.22374
1.446	-0.37385
1.447	0.13507
1.448	0.11333
1.449	-0.56625
1.450	0.19046
1.451	0.00757
1.452	0.61810
1.453	-0.02957
1.454	0.05595
1.455	-0.22626
1.456	-0.16972
1.457	0.19356
1.458	0.07304
1.459	-0.01701
1.460	0.33256
1.461	-0.17855
1.462	-3.15275
1.463	-0.20073
1.464	0.23476
1.465	1.54685
1.466	0.40743
1.467	0.09304
1.468	0.25665
1.469	0.85988
1.470	0.46339
1.471	0.13689
1.472	0.37739
1.473	0.46360
1.474	0.07930
1.475	0.17313
1.476	0.55520
1.477	0.90821
1.478	0.13606
1.479	0.52709
1.480	0.59202
1.481	0.48184
1.482	0.25632
1.483	0.94536
1.484	0.04215
1.485	0.12818
1.486	0.21693
1.487	-0.01921
1.488	-0.28211
1.489	0.32940
1.490	0.51093
1.491	-0.32788
1.492	-0.03363
1.493	0.49131
1.494	0.46154
1.495	-1.06183
1.496	-0.55469
1.497	-0.11885
1.498	0.22001
1.499	0.21196
1.500	-0.92600
1.501	0.08535
1.502	-0.04832
1.503	-0.50503
1.504	0.22084
1.505	-0.22780
1.506	0.04865
1.507	0.58273
1.508	0.20360
1.509	0.20389
1.510	0.19328
1.511	-0.23449
1.512	0.07594
1.513	0.11075
1.514	0.53947
1.515	0.33435
1.516	-0.14254
1.517	-0.04892
1.518	0.67346
1.519	0.07627
1.520	-0.26795
1.521	0.55004
1.522	0.13670
1.523	0.37643
1.524	-0.47487
1.525	0.29374
1.526	1.11047
1.527	0.32170
1.528	-0.12390
1.529	-0.00173
1.530	-1.09856
1.531	0.34488
1.532	0.21216
1.533	-0.44370
1.534	0.87509
1.535	0.16970
1.536	0.01900
1.537	0.12314
1.538	0.30678
1.539	0.07180
1.540	0.81816
1.541	0.49520
1.542	0.22752
1.543	-0.34767
1.544	-0.19725
1.545	0.34277
1.546	0.64205
1.547	0.20709
1.548	-0.07954
1.549	0.00792
1.550	-0.77024
1.551	-0.25265
1.552	0.40966
1.553	0.18447
1.554	-0.08057
1.555	-0.05534
1.556	0.28726
1.557	0.65679
1.558	0.10637
1.559	0.04586
1.560	0.02535
1.561	0.06696
1.562	0.43611
1.563	-0.04082
1.564	-0.03737
1.565	-0.12242
1.566	-0.68984
1.567	1.09021
1.568	0.67142
1.569	0.68137
1.570	0.32031
1.571	0.18738
1.572	-0.21906
1.573	-0.56345
1.574	0.12463
1.575	-0.03228
1.576	0.12625
1.577	-0.26777
1.578	0.32219
1.579	0.45532
1.580	-0.43132
1.581	0.42823
1.582	0.22938
1.583	-0.04897
1.584	-0.10936
1.585	-0.10380
1.586	-0.26787
1.587	0.04019
1.588	0.65746
1.589	0.76152
1.590	0.10597
1.591	0.26856
1.592	-0.20514
1.593	0.25296
1.594	0.06280
1.595	-0.31354
1.596	-0.05651
1.597	-0.25194
1.598	-0.40615
1.599	-0.26312
1.600	-0.05779
1.601	-0.23613
1.602	0.05034
1.603	-0.15775
1.604	-0.13496
1.605	1.08898
1.606	0.26595
1.607	-0.02429
1.608	-0.09509
1.609	0.37017
1.610	0.44320
1.611	0.06900
1.612	-0.00922
1.613	0.33310
1.614	0.05156
1.615	0.21612
1.616	-0.11369
1.617	-0.25210
1.618	0.08810
1.619	0.29222
1.620	0.11429
1.621	0.04368
1.622	0.15193
1.623	-0.17263
1.624	0.10242
1.625	-0.09472
1.626	-0.00229
1.627	0.02565
1.628	0.16465
1.629	0.02086
1.630	0.31596
1.631	0.01527
1.632	0.21294
1.633	0.39683
1.634	-0.07674
1.635	0.20958
1.636	0.14046
1.637	-0.09971
1.638	0.21094
1.639	-0.18279
1.640	-0.05792
1.641	0.25556
1.642	0.34365
1.643	0.00923
1.644	0.50786
1.645	-0.87467
1.646	-0.37219
1.647	-0.30977
1.648	0.37245
1.649	0.08128
1.650	0.03082
1.651	0.03147
1.652	-0.18145
1.653	-0.06363
1.654	0.24809
1.655	-0.02710
1.656	-0.11570
1.657	0.25859
1.658	0.18512
1.659	0.03410
1.660	0.04740
1.661	-0.04047
1.662	-0.04419
1.663	0.19832
1.664	0.04471
1.665	0.07697
1.666	0.16458
1.667	0.14533
1.668	0.02572
1.669	-0.20545
1.670	-0.11997
1.671	0.07343
1.672	0.15892
1.673	0.07794
1.674	-0.05741
1.675	-0.00470
1.676	0.02030
1.677	0.15438
1.678	0.20188
1.679	0.15646
1.680	0.20317
1.681	-0.00666
1.682	-0.06107
1.683	0.01521
1.684	0.13448
1.685	0.17008
1.686	0.23571
1.687	-0.16895
1.688	-0.17379
1.689	0.17517
1.690	0.25787
1.691	-0.10051
1.692	-0.20903
1.693	0.14142
1.694	0.01156
1.695	-0.05746
1.696	0.10223
1.697	0.19576
1.698	-0.11864
1.699	-0.06803
1.700	0.04999
1.701	-0.01905
1.702	0.06269
1.703	-0.00306
1.704	-0.01432
1.705	0.11135
1.706	-0.05871
1.707	0.23607
1.708	0.12104
1.709	-0.06717
1.710	-0.05528
1.711	0.16366
1.712	0.04490
1.713	-0.00305
1.714	0.01318
1.715	-0.10315
1.716	0.12031
1.717	0.06324
1.718	0.06104
1.719	-0.01446
1.720	-0.07508
1.721	0.15053
1.722	0.00685
1.723	-0.03394
1.724	0.06525
1.725	0.09212
1.726	0.00985
1.727	-0.03322
1.728	0.07600
1.729	0.17055
1.730	0.15983
1.731	0.07892
1.732	-0.07977
1.733	0.06272
1.734	-0.08217
1.735	-0.10827
1.736	-0.03226
1.737	0.14381
1.738	0.06478
1.739	0.04120
1.740	-0.01295
1.741	0.10893
1.742	0.04924
1.743	-0.03380
1.744	0.08139
1.745	-0.02971
1.746	0.12403
1.747	0.05436
1.748	0.12818
1.749	0.06993
1.750	-0.07470
1.751	-0.08158
1.752	0.04628
1.753	0.11805
1.754	-0.01809
1.755	0.19656
1.756	0.05200
1.757	0.06656
1.758	0.11387
1.759	-0.05657
1.760	0.14638
1.761	0.08988
1.762	0.04291
1.763	0.03827
1.764	0.08878
1.765	0.03069
1.766	-0.04784
1.767	0.07721
1.768	0.09988
1.769	-0.08282
1.770	0.09931
1.771	0.05932
1.772	0.16117
1.773	0.03531
1.774	0.10166
1.775	0.16884
1.776	0.15311
1.777	0.27168
1.778	0.54560
1.779	-0.15146
1.780	-0.00213
1.781	0.13527
1.782	0.05936
1.783	-0.03912
1.784	-0.02703
1.785	0.06444
1.786	0.01377
1.787	0.01851
1.788	0.15861
1.789	0.00310
1.790	0.01407
1.791	0.00113
1.792	0.02336
1.793	0.01697
1.794	0.02108
1.795	0.06143
1.796	0.07553
1.797	-0.05103
1.798	-0.01014
1.799	-0.08231
1.800	-0.05556
1.801	-0.05171
1.802	-0.12402
1.803	-0.06144
1.804	0.04916
1.805	0.02501
1.806	0.08405
1.807	0.16217
1.808	-0.02000
1.809	0.02110
1.810	0.04103
1.811	-0.04881
1.812	0.11020
1.813	-0.00002
1.814	-0.09160
1.815	-0.00724
1.816	-0.00246
1.817	-0.00277
1.818	0.05168
1.819	-0.00850
1.820	-0.01973
1.821	-0.00181
1.822	0.01405
1.823	-0.00218
1.824	-0.00612
1.825	-0.03807
1.826	0.00708
1.827	0.00863
1.828	-0.01737
1.829	0.01618
1.830	-0.05981
1.831	-0.00568
1.832	-0.00747
1.833	-0.04250
1.834	-0.04317
1.835	0.00326
1.836	0.03946
1.837	-0.05356
1.838	0.05929
1.839	-0.00425
1.840	0.03545
1.841	-0.08662
1.842	-0.00126
1.843	-0.11365
1.844	0.02618
1.845	0.06791
1.846	0.08678
1.847	0.06430
1.848	-0.03491
1.849	0.09930
1.850	0.03799
1.851	0.02169
1.852	0.03003
