#Lambda	Flux
6.091	0.00120
6.092	0.00209
6.093	0.00311
6.094	0.00433
6.095	0.00573
6.096	0.00729
6.097	0.00905
6.098	0.01103
6.099	0.01323
6.100	0.01562
6.101	0.01817
6.102	0.02089
6.103	0.02383
6.104	0.02685
6.105	0.02978
6.106	0.03274
6.107	0.03573
6.108	0.03845
6.109	0.04062
6.110	0.04242
6.111	0.04380
6.112	0.04457
6.113	0.04453
6.114	0.04371
6.115	0.04228
6.116	0.04039
6.117	0.03801
6.118	0.03500
6.119	0.03173
6.120	0.02861
6.121	0.02555
6.122	0.02247
6.123	0.01961
6.124	0.01721
6.125	0.01520
6.126	0.01352
6.127	0.01223
6.128	0.01135
6.129	0.01086
6.130	0.01076
6.131	0.01103
6.132	0.01168
6.133	0.01273
6.134	0.01411
6.135	0.01577
6.136	0.01779
6.137	0.02016
6.138	0.02265
6.139	0.02507
6.140	0.02758
6.141	0.03011
6.142	0.03244
6.143	0.03439
6.144	0.03608
6.145	0.03751
6.146	0.03863
6.147	0.03942
6.148	0.03988
6.149	0.04006
6.150	0.03997
6.151	0.03965
6.152	0.03908
6.153	0.03820
6.154	0.03698
6.155	0.03541
6.156	0.03352
6.157	0.03130
6.158	0.02876
6.159	0.02578
6.160	0.02250
6.161	0.01911
6.162	0.01571
6.163	0.01213
6.164	0.00852
6.165	0.00511
6.166	0.00199
6.167	-0.00098
6.168	-0.00372
6.169	-0.00613
6.170	-0.00820
6.171	-0.00999
6.172	-0.01143
6.173	-0.01249
6.174	-0.01320
6.175	-0.01355
6.176	-0.01350
6.177	-0.01301
6.178	-0.01202
6.179	-0.01063
6.180	-0.00896
6.181	-0.00706
6.182	-0.00476
6.183	-0.00227
6.184	0.00015
6.185	0.00239
6.186	0.00463
6.187	0.00673
6.188	0.00852
6.189	0.00990
6.190	0.01097
6.191	0.01181
6.192	0.01250
6.193	0.01297
6.194	0.01324
6.195	0.01344
6.196	0.01373
6.197	0.01407
6.198	0.01443
6.199	0.01484
6.200	0.01534
6.201	0.01599
6.202	0.01670
6.203	0.01737
6.204	0.01793
6.205	0.01848
6.206	0.01896
6.207	0.01926
6.208	0.01935
6.209	0.01929
6.210	0.01904
6.211	0.01858
6.212	0.01788
6.213	0.01696
6.214	0.01584
6.215	0.01460
6.216	0.01320
6.217	0.01164
6.218	0.00997
6.219	0.00825
6.220	0.00647
6.221	0.00460
6.222	0.00271
6.223	0.00085
6.224	-0.00103
6.225	-0.00292
6.226	-0.00473
6.227	-0.00642
6.228	-0.00804
6.229	-0.00957
6.230	-0.01093
6.231	-0.01208
6.232	-0.01305
6.233	-0.01383
6.234	-0.01439
6.235	-0.01468
6.236	-0.01472
6.237	-0.01454
6.238	-0.01418
6.239	-0.01364
6.240	-0.01288
6.241	-0.01198
6.242	-0.01107
6.243	-0.01017
6.244	-0.00920
6.245	-0.00826
6.246	-0.00744
6.247	-0.00677
6.248	-0.00619
6.249	-0.00572
6.250	-0.00534
6.251	-0.00509
6.252	-0.00496
6.253	-0.00487
6.254	-0.00475
6.255	-0.00465
6.256	-0.00456
6.257	-0.00439
