#Lambda	Flux
1.429	0.33384
1.430	0.41128
1.431	-0.43653
1.432	0.49672
1.433	0.33239
1.434	-0.23591
1.435	0.15301
1.436	0.11787
1.437	-0.22694
1.438	0.33006
1.439	-0.15877
1.440	-0.69897
1.441	0.12835
1.442	0.01011
1.443	0.12068
1.444	-0.12048
1.445	0.01556
1.446	0.36454
1.447	0.35401
1.448	0.01179
1.449	0.40823
1.450	0.04421
1.451	0.09320
1.452	0.09857
1.453	-0.01030
1.454	-0.07935
1.455	0.18424
1.456	-0.06716
1.457	0.33288
1.458	0.51520
1.459	0.16144
1.460	0.11676
1.461	-0.19534
1.462	-1.03462
1.463	0.48097
1.464	0.45940
1.465	0.75667
1.466	0.46451
1.467	0.33359
1.468	0.80164
1.469	0.58879
1.470	0.52031
1.471	0.51424
1.472	0.75639
1.473	0.36191
1.474	0.07915
1.475	-0.02590
1.476	0.26790
1.477	0.45157
1.478	0.17267
1.479	0.16419
1.480	0.48830
1.481	0.24479
1.482	0.39025
1.483	0.22622
1.484	0.22472
1.485	-0.22653
1.486	0.23396
1.487	0.39207
1.488	0.20569
1.489	0.13140
1.490	0.50506
1.491	0.36873
1.492	0.30166
1.493	0.49888
1.494	-0.01788
1.495	-0.60006
1.496	-0.54268
1.497	0.21343
1.498	0.07411
1.499	-0.56135
1.500	-0.32860
1.501	0.11088
1.502	-0.00198
1.503	-0.02700
1.504	0.28021
1.505	0.00231
1.506	0.30353
1.507	-0.08182
1.508	-0.13479
1.509	0.21806
1.510	0.08742
1.511	-0.13440
1.512	0.33613
1.513	-0.18503
1.514	0.23362
1.515	-0.11819
1.516	-0.19667
1.517	0.06475
1.518	0.30258
1.519	0.19524
1.520	0.36742
1.521	-0.08133
1.522	0.30895
1.523	0.10606
1.524	-0.15442
1.525	0.41801
1.526	0.20170
1.527	0.37190
1.528	0.08138
1.529	-0.32346
1.530	-1.25206
1.531	-0.26238
1.532	-0.05458
1.533	0.13466
1.534	0.13865
1.535	0.42201
1.536	0.26410
1.537	0.27096
1.538	0.71532
1.539	0.16466
1.540	-0.14596
1.541	-0.12035
1.542	0.50589
1.543	0.48272
1.544	0.09623
1.545	0.15654
1.546	-0.15606
1.547	0.41136
1.548	-0.15317
1.549	0.03799
1.550	-0.08264
1.551	0.21090
1.552	0.72667
1.553	0.55612
1.554	-0.09114
1.555	-0.01373
1.556	-0.08964
1.557	0.42611
1.558	0.42131
1.559	0.01352
1.560	0.35663
1.561	-0.12373
1.562	0.01153
1.563	0.22785
1.564	0.63684
1.565	0.07923
1.566	-0.34919
1.567	-0.61275
1.568	0.09753
1.569	0.27029
1.570	-0.14056
1.571	0.20381
1.572	0.15591
1.573	0.26976
1.574	-0.16204
1.575	-0.17319
1.576	-0.06098
1.577	-0.37769
1.578	-0.01733
1.579	0.27895
1.580	0.01655
1.581	-0.05028
1.582	0.01329
1.583	-0.11074
1.584	-0.01139
1.585	-0.30307
1.586	0.11857
1.587	-0.06191
1.588	-0.02706
1.589	0.14059
1.590	0.04725
1.591	0.14960
1.592	0.04736
1.593	0.00381
1.594	0.28132
1.595	0.18120
1.596	0.31397
1.597	0.27962
1.598	0.18664
1.599	0.04143
1.600	-0.08969
1.601	0.05587
1.602	0.36430
1.603	0.14496
1.604	0.00883
1.605	-0.19578
1.606	0.37400
