#Lambda	Flux(Jy)
1.429	-0.09980
1.430	-0.04394
1.431	0.39153
1.432	0.39583
1.433	-0.15486
1.434	0.52622
1.435	-0.57020
1.436	-0.07984
1.437	0.20664
1.438	0.04247
1.439	0.44406
1.440	0.12472
1.441	-0.73635
1.442	0.23303
1.443	0.28295
1.444	-0.20933
1.445	-0.48488
1.446	-0.02990
1.447	0.38342
1.448	0.07190
1.449	-0.04750
1.450	0.42150
1.451	0.00455
1.452	0.32427
1.453	0.02821
1.454	-0.30162
1.455	0.11414
1.456	0.05221
1.457	-0.38067
1.458	0.16665
1.459	0.26013
1.460	-0.03570
1.461	-0.37072
1.462	-0.95532
1.463	0.35348
1.464	0.28686
1.465	0.33677
1.466	0.39325
1.467	0.56553
1.468	0.10771
1.469	0.20934
1.470	0.49484
1.471	-0.11616
1.472	0.08012
1.473	0.58269
1.474	0.55837
1.475	0.62876
1.476	0.07155
1.477	-0.22551
1.478	0.62811
1.479	0.47581
1.480	0.04700
1.481	0.10027
1.482	0.27492
1.483	0.19595
1.484	0.52550
1.485	0.07491
1.486	0.11229
1.487	0.36892
1.488	0.70662
1.489	0.00149
1.490	0.24271
1.491	0.11216
1.492	-0.10376
1.493	-0.06386
1.494	-0.19892
1.495	-0.24958
1.496	0.46714
1.497	0.66973
1.498	-0.38528
1.499	0.28292
1.500	0.95399
1.501	0.20568
1.502	-0.02403
1.503	0.00195
1.504	-0.21187
1.505	0.39761
1.506	-0.36149
1.507	0.80274
1.508	0.28035
1.509	0.03268
1.510	0.16177
1.511	-0.01060
1.512	0.05742
1.513	0.77009
1.514	0.37587
1.515	-0.03876
1.516	0.06648
1.517	-0.16433
1.518	0.12891
1.519	0.24190
1.520	0.00601
1.521	0.22138
1.522	0.16478
1.523	0.47706
1.524	-0.07058
1.525	0.15678
1.526	0.19997
1.527	0.26774
1.528	-0.10591
1.529	-0.24640
1.530	-1.11986
1.531	0.19109
1.532	0.07887
1.533	0.33730
1.534	-0.08375
1.535	-0.12652
1.536	-0.09124
1.537	-0.18916
1.538	-0.26930
1.539	-0.17538
1.540	0.01266
1.541	-0.04646
1.542	-0.07025
1.543	0.53496
1.544	0.33200
1.545	0.48296
1.546	0.72837
1.547	-0.07886
1.548	-0.25749
1.549	-0.13640
1.550	-0.42323
1.551	-0.15864
1.552	-0.04790
1.553	0.02807
1.554	0.29736
1.555	0.24876
1.556	-0.41816
1.557	-0.32649
