#Lambda	Flux(Jy)
8.000	0.01960
8.001	0.01966
8.002	0.01965
8.003	0.01959
8.004	0.01948
8.005	0.01933
8.006	0.01915
8.007	0.01894
8.008	0.01868
8.009	0.01838
8.010	0.01804
8.011	0.01770
8.012	0.01735
8.013	0.01701
8.014	0.01667
8.015	0.01633
8.016	0.01597
8.017	0.01562
8.018	0.01528
8.019	0.01495
8.020	0.01465
8.021	0.01434
8.022	0.01405
8.023	0.01377
8.024	0.01350
8.025	0.01325
8.026	0.01302
8.027	0.01281
8.028	0.01261
8.029	0.01243
8.030	0.01226
8.031	0.01211
8.032	0.01196
8.033	0.01183
8.034	0.01171
8.035	0.01160
8.036	0.01151
8.037	0.01142
8.038	0.01134
8.039	0.01127
8.040	0.01122
8.041	0.01118
8.042	0.01115
8.043	0.01112
8.044	0.01108
8.045	0.01104
8.046	0.01100
8.047	0.01096
8.048	0.01092
8.049	0.01087
8.050	0.01080
8.051	0.01072
8.052	0.01060
8.053	0.01046
8.054	0.01031
8.055	0.01014
8.056	0.00995
8.057	0.00974
8.058	0.00952
8.059	0.00926
8.060	0.00898
8.061	0.00868
8.062	0.00837
8.063	0.00805
8.064	0.00775
8.065	0.00747
8.066	0.00717
8.067	0.00686
8.068	0.00657
8.069	0.00629
8.070	0.00605
8.071	0.00587
8.072	0.00573
8.073	0.00563
8.074	0.00556
8.075	0.00553
8.076	0.00553
8.077	0.00557
8.078	0.00564
8.079	0.00577
8.080	0.00595
8.081	0.00615
8.082	0.00638
8.083	0.00661
8.084	0.00685
8.085	0.00709
8.086	0.00736
8.087	0.00764
8.088	0.00792
8.089	0.00819
8.090	0.00846
8.091	0.00870
8.092	0.00893
8.093	0.00915
8.094	0.00936
8.095	0.00956
8.096	0.00975
8.097	0.00992
8.098	0.01006
8.099	0.01019
8.100	0.01029
8.101	0.01039
8.102	0.01049
8.103	0.01060
8.104	0.01072
8.105	0.01084
8.106	0.01097
8.107	0.01110
8.108	0.01123
8.109	0.01138
8.110	0.01154
8.111	0.01171
8.112	0.01190
8.113	0.01210
8.114	0.01230
8.115	0.01251
8.116	0.01272
8.117	0.01292
8.118	0.01313
8.119	0.01334
8.120	0.01356
8.121	0.01377
8.122	0.01397
8.123	0.01415
8.124	0.01432
8.125	0.01447
8.126	0.01461
8.127	0.01474
8.128	0.01486
8.129	0.01497
8.130	0.01506
8.131	0.01514
8.132	0.01520
8.133	0.01524
8.134	0.01528
8.135	0.01531
8.136	0.01535
8.137	0.01539
8.138	0.01543
8.139	0.01547
8.140	0.01551
8.141	0.01555
8.142	0.01559
8.143	0.01563
8.144	0.01567
8.145	0.01571
8.146	0.01576
8.147	0.01581
8.148	0.01585
8.149	0.01589
8.150	0.01593
8.151	0.01596
8.152	0.01599
8.153	0.01601
8.154	0.01603
8.155	0.01604
8.156	0.01605
8.157	0.01604
8.158	0.01602
8.159	0.01599
8.160	0.01595
8.161	0.01591
8.162	0.01587
8.163	0.01584
8.164	0.01581
8.165	0.01577
8.166	0.01574
8.167	0.01571
8.168	0.01568
8.169	0.01566
8.170	0.01566
8.171	0.01568
8.172	0.01570
8.173	0.01573
8.174	0.01578
8.175	0.01583
8.176	0.01589
8.177	0.01595
8.178	0.01604
8.179	0.01613
8.180	0.01624
8.181	0.01634
8.182	0.01645
8.183	0.01654
8.184	0.01663
8.185	0.01673
8.186	0.01682
8.187	0.01691
8.188	0.01698
8.189	0.01704
8.190	0.01707
8.191	0.01708
8.192	0.01709
8.193	0.01707
8.194	0.01704
8.195	0.01698
8.196	0.01688
8.197	0.01674
8.198	0.01657
8.199	0.01638
8.200	0.01615
8.201	0.01589
8.202	0.01559
8.203	0.01527
8.204	0.01491
8.205	0.01452
8.206	0.01409
8.207	0.01363
8.208	0.01314
8.209	0.01263
8.210	0.01211
8.211	0.01157
8.212	0.01098
8.213	0.01037
8.214	0.00974
8.215	0.00912
8.216	0.00851
8.217	0.00792
8.218	0.00734
8.219	0.00675
8.220	0.00617
8.221	0.00561
8.222	0.00508
8.223	0.00460
8.224	0.00419
8.225	0.00382
8.226	0.00349
8.227	0.00319
8.228	0.00295
8.229	0.00275
8.230	0.00262
8.231	0.00254
8.232	0.00253
8.233	0.00259
8.234	0.00269
8.235	0.00283
8.236	0.00300
8.237	0.00320
8.238	0.00342
8.239	0.00370
8.240	0.00401
8.241	0.00435
8.242	0.00470
8.243	0.00504
8.244	0.00536
8.245	0.00566
8.246	0.00598
8.247	0.00630
8.248	0.00660
8.249	0.00689
8.250	0.00714
8.251	0.00735
8.252	0.00754
8.253	0.00770
8.254	0.00783
8.255	0.00793
8.256	0.00801
8.257	0.00805
8.258	0.00806
8.259	0.00803
8.260	0.00796
8.261	0.00787
8.262	0.00775
8.263	0.00760
8.264	0.00743
8.265	0.00724
8.266	0.00702
8.267	0.00677
8.268	0.00650
8.269	0.00621
8.270	0.00590
8.271	0.00556
8.272	0.00521
8.273	0.00483
8.274	0.00443
8.275	0.00400
8.276	0.00356
8.277	0.00310
8.278	0.00262
8.279	0.00213
8.280	0.00161
8.281	0.00107
8.282	0.00051
8.283	-0.00005
8.284	-0.00062
8.285	-0.00119
8.286	-0.00177
8.287	-0.00236
8.288	-0.00297
8.289	-0.00357
8.290	-0.00417
8.291	-0.00475
8.292	-0.00531
8.293	-0.00586
8.294	-0.00641
8.295	-0.00694
8.296	-0.00746
8.297	-0.00796
8.298	-0.00842
8.299	-0.00885
8.300	-0.00926
8.301	-0.00964
8.302	-0.00999
8.303	-0.01032
8.304	-0.01061
8.305	-0.01088
8.306	-0.01112
8.307	-0.01133
8.308	-0.01152
8.309	-0.01167
8.310	-0.01180
8.311	-0.01189
8.312	-0.01194
8.313	-0.01194
8.314	-0.01192
8.315	-0.01187
8.316	-0.01177
8.317	-0.01164
8.318	-0.01146
8.319	-0.01123
8.320	-0.01096
8.321	-0.01063
8.322	-0.01026
8.323	-0.00985
8.324	-0.00939
8.325	-0.00888
8.326	-0.00832
8.327	-0.00770
8.328	-0.00702
8.329	-0.00628
8.330	-0.00549
8.331	-0.00468
8.332	-0.00384
8.333	-0.00300
8.334	-0.00214
8.335	-0.00124
8.336	-0.00030
8.337	0.00065
8.338	0.00159
8.339	0.00249
8.340	0.00335
8.341	0.00415
8.342	0.00495
8.343	0.00573
8.344	0.00647
8.345	0.00715
8.346	0.00776
8.347	0.00828
8.348	0.00870
8.349	0.00906
8.350	0.00934
8.351	0.00954
8.352	0.00967
8.353	0.00972
8.354	0.00970
8.355	0.00958
8.356	0.00936
8.357	0.00906
8.358	0.00868
8.359	0.00825
8.360	0.00778
8.361	0.00728
8.362	0.00675
8.363	0.00615
8.364	0.00549
8.365	0.00481
8.366	0.00410
8.367	0.00340
8.368	0.00271
8.369	0.00203
8.370	0.00134
8.371	0.00063
8.372	-0.00007
8.373	-0.00076
8.374	-0.00142
8.375	-0.00204
8.376	-0.00263
8.377	-0.00320
8.378	-0.00375
8.379	-0.00427
8.380	-0.00476
8.381	-0.00522
8.382	-0.00563
8.383	-0.00601
8.384	-0.00635
8.385	-0.00666
8.386	-0.00693
8.387	-0.00717
8.388	-0.00737
8.389	-0.00752
8.390	-0.00764
8.391	-0.00773
8.392	-0.00778
8.393	-0.00779
8.394	-0.00775
8.395	-0.00768
8.396	-0.00756
8.397	-0.00739
8.398	-0.00717
8.399	-0.00692
8.400	-0.00662
8.401	-0.00627
8.402	-0.00589
8.403	-0.00546
8.404	-0.00498
8.405	-0.00446
8.406	-0.00388
8.407	-0.00327
8.408	-0.00262
8.409	-0.00195
8.410	-0.00125
8.411	-0.00054
8.412	0.00022
8.413	0.00102
8.414	0.00185
8.415	0.00267
8.416	0.00349
