#N	name	lamcentral	ancho	sens1	sens2	PWV
1 	Si1 	7.8 	1.1	6.94	5.42	7.2
2 	PAH1 	8.60 	0.43	2.03 	1.46 	7.6
3 	Si2 	8.7 	1.1	2.15 	1.01 	7.2
4 	ArIII 	8.99 	0.13	5.29 	3.51 	6.6
5 	Si3 	9.8 	1.0	3.00 	1.85 	7.6
6 	Si4 	10.3 	0.9	2.69 	1.78 	7.6
8 	SIV 	10.52 	0.16	5.02 	3.57 	6.6
9 	PAH2 	11.30 	0.60	3.38 	1.99 	6.6
10 	Si5 	11.6 	0.9	3.02 	2.01 	7.6
11 	SiC 	11.75 	2.5	3.57	2.11 	7.6
12 	Si 	12.5 	0.7	6.43	4.24 	7.6
13 	NeII 	12.81 	0.2	8.46 	5.22 	7.2
14 	NeII 	13.10 	0.2	8.73 	6.04 	7.2
15 	QH2 	17.0 	0.4	50.10 	33.24 	6.8
16 	Q1 	17.65 	0.9	22.81	13.83 	6.8
17 	Q4 	20.5 	1.0	33.32	23.34 	7.6
