# col1          col2        
  48.72109985   1.0E-8      
  48.7804985    1.0E-8      
  48.84000015   1.0E-8      
  48.89979935   2.0E-8      
  48.95959854   3.0E-8      
  49.01959991   3.0E-8      
  49.07979965   2.0E-8      
  49.13999939   2.0E-8      
  49.20050049   3.0E-8      
  49.26110077   3.0E-8      
  49.32180023   3.0E-8      
  49.38270187   5.0E-8      
  49.44380188   4.0E-8      
  49.50500107   3.0E-8      
  49.56629944   5.0E-8      
  49.62779999   5.0E-8      
  49.68939972   5.0E-8      
  49.75120163   8.0E-8      
  49.8132019    7.0E-8      
  49.87530136   5.0E-8      
  49.93759918   1.1E-7      
  50.0          1.6E-7      
  50.06259918   1.6E-7      
  50.12530136   2.0E-7      
  50.1882019    1.5E-7      
  50.25130081   4.0E-8      
  50.3144989    1.2E-7      
  50.37779999   2.9E-7      
  50.44139862   5.1E-7      
  50.50510025   1.02E-6     
  50.56890106   1.58E-6     
  50.63290024   1.9E-6      
  50.69710159   2.17E-6     
  50.76139832   2.3E-6      
  50.82590103   2.08E-6     
  50.8905983    1.67E-6     
  50.95539856   1.32E-6     
  51.020401     7.7E-7      
  51.08560181   5.6E-7      
  51.15090179   7.6E-7      
  51.21640015   8.4E-7      
  51.28210068   8.1E-7      
  51.34790039   8.6E-7      
  51.41389847   1.08E-6     
  51.48009872   1.8E-6      
  51.54639816   2.77E-6     
  51.61289978   3.47E-6     
  51.67959976   3.74E-6     
  51.74639893   2.66E-6     
  51.81349945   1.53E-6     
  51.88069916   1.17E-6     
  51.94810104   5.6E-7      
  52.0155983    1.94E-6     
  52.08330154   6.52E-6     
  52.15119934   1.144E-5    
  52.21929932   1.703E-5    
  52.28760147   2.376E-5    
  52.35599899   2.788E-5    
  52.42459869   3.136E-5    
  52.49340057   3.723E-5    
  52.56240082   4.143E-5    
  52.63159943   4.485E-5    
  52.70090103   5.197E-5    
  52.770401     5.833E-5    
  52.84019852   6.242E-5    
  52.91009903   6.856E-5    
  52.98009872   7.24E-5     
  53.05039978   7.167E-5    
  53.12080002   7.273E-5    
  53.19150162   7.445E-5    
  53.26229858   7.362E-5    
  53.33330154   7.403E-5    
  53.40449905   7.404E-5    
  53.47589874   7.34E-5     
  53.54750061   7.439E-5    
  53.61930084   7.8E-5      
  53.69130325   8.068E-5    
  53.76339722   8.401E-5    
  53.83580017   9.026E-5    
  53.90840149   9.809E-5    
  53.98110199   1.0964E-4   
  54.05410004   1.2738E-4   
  54.12720108   1.4878E-4   
  54.20050049   1.7395E-4   
  54.27409744   2.0691E-4   
  54.34780121   2.463E-4    
  54.42179871   2.92E-4     
  54.4958992    3.4884E-4   
  54.57030487   4.1487E-4   
  54.64479828   4.8915E-4   
  54.71960449   5.7924E-4   
  54.79449463   6.8468E-4   
  54.86970139   8.0119E-4   
  54.94510269   9.359E-4    
  55.02060318   0.00108982  
  55.09640503   0.00126744  
  55.17240143   0.00149342  
  55.24860001   0.00178205  
  55.32499695   0.00214043  
  55.40169525   0.00259919  
  55.47850418   0.00318194  
  55.5555954    0.00387778  
  55.63280106   0.00470034  
  55.71029663   0.00566466  
  55.7879982    0.00675145  
  55.86590195   0.00797531  
  55.94410324   0.00933733  
  56.0223999    0.0107704   
  56.10100555   0.0122982   
  56.17979431   0.0137692   
  56.25880432   0.0154111   
  56.33800507   0.0172356   
  56.41749573   0.0192913   
  56.49720383   0.0214773   
  56.57710266   0.0237674   
  56.65719604   0.0262859   
  56.73759842   0.0289762   
  56.81820297   0.031815    
  56.89899445   0.0349463   
  56.98009491   0.0382349   
  57.06129837   0.041493    
  57.14289856   0.0449294   
  57.22460175   0.0484849   
  57.30659866   0.051882    
  57.38880157   0.0555246   
  57.4712944    0.0594584   
  57.55400467   0.0632925   
  57.63690186   0.0673646   
  57.72010422   0.0718924   
  57.80350113   0.0764701   
  57.88709641   0.0812408   
  57.97100067   0.0858883   
  58.05519867   0.0905109   
  58.13949966   0.0954108   
  58.22419739   0.100653    
  58.30899811   0.10615     
  58.39420319   0.112039    
  58.47949982   0.117755    
  58.56520462   0.123631    
  58.65100098   0.129391    
  58.73720169   0.135667    
  58.82350159   0.14226399  
  58.9101944    0.148838    
  58.99710083   0.155394    
  59.08420563   0.16183499  
  59.17160416   0.16806599  
  59.25930405   0.17451701  
  59.34719849   0.181205    
  59.4353981    0.188179    
  59.5237999    0.19570699  
  59.61249924   0.203311    
  59.70149612   0.210078    
  59.79069901   0.217555    
  59.88019943   0.225067    
  59.97000504   0.23234899  
  60.06010056   0.239996    
  60.15039825   0.247917    
  60.24099731   0.255344    
  60.33180237   0.26238701  
  60.42300034   0.26925501  
  60.51440048   0.27560699  
  60.60609818   0.28161901  
  60.69800186   0.287727    
  60.79029846   0.29356599  
  60.88280487   0.29871699  
  60.97560501   0.30388901  
  61.06869888   0.30890799  
  61.16209793   0.31345201  
  61.25569916   0.31805801  
  61.34970093   0.32226399  
  61.44390488   0.32569799  
  61.53850174   0.32975     
  61.63330078   0.33472899  
  61.728405     0.33991101  
  61.82380295   0.34566399  
  61.91950226   0.35212001  
  62.01549911   0.35854501  
  62.11180115   0.36503699  
  62.20840454   0.371346    
  62.30529785   0.378117    
  62.40250397   0.38456899  
  62.5          0.39022899  
  62.59779739   0.39487499  
  62.69589615   0.39933699  
  62.79429626   0.40403101  
  62.89310074   0.40887901  
  62.99210358   0.41312504  
  63.09149933   0.41607699  
  63.19120026   0.41727704  
  63.29109573   0.421352    
  63.39139938   0.42986301  
  63.49210358   0.43812701  
  63.5929985    0.444949    
  63.69430542   0.45129201  
  63.79589844   0.457495    
  63.89779663   0.46330899  
  64.0          0.46970201  
  64.1026001    0.47619501  
  64.20549774   0.481976    
  64.30870056   0.48880199  
  64.41220093   0.49532801  
  64.51609802   0.49970701  
  64.62039948   0.503528    
  64.72489929   0.50744897  
  64.82980347   0.51020402  
  64.93509674   0.5122      
  65.04060364   0.51388198  
  65.14659882   0.51483899  
  65.25289917   0.51622999  
  65.35949707   0.517115    
  65.46640015   0.51600802  
  65.57379913   0.51418     
  65.68139648   0.51334703  
  65.78949738   0.51282299  
  65.89790344   0.51200098  
  66.00659943   0.51152098  
  66.11569977   0.511944    
  66.22519684   0.51218599  
  66.33499908   0.51166397  
  66.44519806   0.51206201  
  66.55570221   0.51329201  
  66.66670227   0.51542902  
  66.77799988   0.51627201  
  66.88960266   0.51441002  
  67.00170135   0.511657    
  67.1140976    0.50967097  
  67.22689819   0.508205    
  67.34010315   0.50728101  
  67.45359802   0.506028    
  67.56759644   0.50330198  
  67.68190002   0.49944499  
  67.79660034   0.495538    
  67.91169739   0.491115    
  68.02719879   0.48611     
  68.14309692   0.48106599  
  68.25939941   0.47562101  
  68.37609863   0.469266    
  68.49310303   0.463287    
  68.61060333   0.45784801  
  68.72850037   0.452905    
  68.84680176   0.44957101  
  68.96549988   0.44768199  
  69.08460236   0.44632801  
  69.20420074   0.44623399  
  69.32409668   0.44738999  
  69.44439697   0.44832504  
  69.56520081   0.44880599  
  69.68640137   0.450124    
  69.80799866   0.450369    
  69.93009949   0.449911    
  70.05249786   0.44993901  
  70.17539978   0.44957501  
  70.29879761   0.44892001  
  70.42250061   0.44904301  
  70.54669952   0.44914302  
  70.67140198   0.44927499  
  70.79650116   0.45065799  
  70.92199707   0.452066    
  71.04799652   0.45322901  
  71.17440033   0.45630699  
  71.30120087   0.459272    
  71.4285965    0.461485    
  71.55639648   0.46352699  
  71.68460083   0.46557701  
  71.81330109   0.46634501  
  71.94239807   0.466474    
  72.07209778   0.46787     
  72.20220184   0.46895501  
  72.33270264   0.46910501  
  72.46379852   0.469282    
  72.59529877   0.46899799  
  72.72730255   0.468968    
  72.85970306   0.47024599  
  72.99269867   0.47166401  
  73.12609863   0.473189    
  73.26010132   0.47592101  
  73.39450073   0.47828001  
  73.52940369   0.479895    
  73.66480255   0.48224199  
  73.80069733   0.48454401  
  73.93720245   0.486285    
  74.07409668   0.488599    
  74.21150208   0.49083501  
  74.34940338   0.49226999  
  74.48789978   0.494165    
  74.62689972   0.49626601  
  74.7664032    0.497473    
  74.90640259   0.498887    
  75.04689789   0.50077099  
  75.18800354   0.50128001  
  75.32959747   0.50099403  
  75.47170258   0.50135201  
  75.61440277   0.50180101  
  75.75759888   0.50067598  
  75.90129852   0.49953699  
  76.04560089   0.49838001  
  76.19049835   0.496167    
  76.33589935   0.49365401  
  76.48179626   0.49049401  
  76.62830353   0.48731801  
  76.77539825   0.48496801  
  76.92310333   0.482499    
  77.07129669   0.47859699  
  77.2201004    0.47442201  
  77.36940002   0.46888101  
  77.51940155   0.46090904  
  77.66989899   0.452254    
  77.82099915   0.44347799  
  77.97270203   0.43397099  
  78.125        0.42507401  
  78.2779007    0.41754499  
  78.43139648   0.41023901  
  78.58550262   0.40379199  
  78.74019623   0.39956     
  78.89550018   0.396889    
  79.05139923   0.39626399  
  79.207901     0.39597699  
  79.36509705   0.394319    
  79.52290344   0.39133099  
  79.6812973    0.38807699  
  79.84030151   0.38389501  
  80.0          0.378701    
  80.16030121   0.373638    
  80.32129669   0.36814901  
  80.48290253   0.36148599  
  80.64520264   0.3547      
  80.80809784   0.34772801  
  80.97170258   0.3398      
  81.1359024    0.331624    
  81.30079651   0.32344401  
  81.46640015   0.31450701  
  81.63269806   0.30516699  
  81.79959869   0.29503199  
  81.96720123   0.283811    
  82.13549805   0.27326399  
  82.30449677   0.26330301  
  82.47419739   0.25250801  
  82.64459991   0.241522    
  82.81569672   0.23065899  
  82.98750305   0.21945401  
  83.16010284   0.208324    
  83.33329773   0.198191    
  83.50730133   0.188587    
  83.68199921   0.178859    
  83.85739899   0.16943     
  84.03359985   0.16015901  
  84.21050262   0.151135    
  84.38819885   0.142864    
  84.56659698   0.13529301  
  84.7457962    0.128436    
  84.92569733   0.122704    
  85.10639954   0.117607    
  85.28780365   0.112686    
  85.4701004    0.108199    
  85.65309906   0.103878    
  85.8368988    0.0991543   
  86.02149963   0.0947581   
  86.20690155   0.0904282   
  86.39309692   0.0858511   
  86.58010101   0.0813514   
  86.76789856   0.0769631   
  86.95649719   0.0724506   
  87.14600372   0.0680878   
  87.3361969    0.0639159   
  87.52739716   0.0597778   
  87.71929932   0.0559078   
  87.91210175   0.0523546   
  88.10569763   0.0489104   
  88.30020142   0.0456413   
  88.49559784   0.0425896   
  88.69180298   0.0396007   
  88.88890076   0.0367519   
  89.0868988    0.0341611   
  89.28569794   0.0316947   
  89.48549652   0.0293916   
  89.68609619   0.0273798   
  89.88760376   0.0256036   
  90.09010315   0.0240779   
  90.29350281   0.0228767   
  90.49770355   0.0218528   
  90.70290375   0.02088     
  90.90910339   0.0200895   
  91.11620331   0.0194346   
  91.32420349   0.0187906   
  91.53320312   0.0182137   
  91.74310303   0.0176881   
  91.95400238   0.0171123   
  92.16590118   0.0165513   
  92.37879944   0.0160115   
  92.59259796   0.0154149   
  92.80740356   0.0148264   
  93.02330017   0.01427     
  93.24009705   0.0136677   
  93.457901     0.0130406   
  93.67680359   0.0124306   
  93.896698     0.0117918   
  94.11759949   0.0111633   
  94.33959961   0.0106094   
  94.56259918   0.0100921   
  94.78669739   0.00959934  
  95.01190186   0.00915734  
  95.23809814   0.00870721  
  95.4654007    0.00823576  
  95.69380188   0.00781487  
  95.9233017    0.00745471  
  96.15380096   0.00710548  
  96.38549805   0.00677256  
  96.61840057   0.00645571  
  96.85230255   0.00613602  
  97.08740234   0.00582982  
  97.32360077   0.005552    
  97.56099701   0.00531091  
  97.79949951   0.00512539  
  98.03919983   0.00495751  
  98.28009796   0.00477148  
  98.52220154   0.00458594  
  98.76540375   0.00440836  
  99.00990295   0.0042114   
  99.25559998   0.00399037  
  99.50250244   0.00377608  
  99.75060272   0.0035832   
  100.0         0.00340201  
  100.25099945  0.00322238  
  100.50299835  0.00294362  
  100.7559967   0.00268012  
  101.01000214  0.00250701  
  101.26599884  0.00234536  
  101.52300262  0.00217826  
  101.78099823  0.00200398  
  102.04100037  0.00185799  
