# t m teff logg logL Lum 
0.0020 0.010 2236. 3.75 -2.96 0.0010964781961432 
0.0020 0.015 2452. 3.77 -2.65 0.0022387211385683 
0.0020 0.020 2571. 3.78 -2.46 0.0034673685045253 
0.0020 0.030 2707. 3.73 -2.14 0.0072443596007499 
0.0020 0.040 2784. 3.67 -1.90 0.012589254117942 
0.0020 0.050 2829. 3.61 -1.72 0.019054607179632 
0.0020 0.060 2867. 3.57 -1.58 0.026302679918954 
0.0020 0.070 2902. 3.53 -1.45 0.035481338923358 
0.0020 0.072 2907. 3.53 -1.43 0.037153522909717 
0.0020 0.075 2914. 3.52 -1.40 0.03981071705535 
0.0020 0.080 2924. 3.50 -1.35 0.044668359215096 
0.0020 0.090 2934. 3.47 -1.26 0.054954087385762 
0.0020 0.100 2972. 3.53 -1.26 0.054954087385762 
0.0020 0.200 3202. 3.67 -0.96 0.10964781961432 
0.0020 0.300 3428. 3.72 -0.72 0.19054607179632 
0.0020 0.400 3606. 3.76 -0.55 0.28183829312645 
0.0020 0.500 3763. 3.79 -0.41 0.38904514499428 
0.0020 0.600 3906. 3.82 -0.29 0.51286138399136 
0.0020 0.700 4033. 3.84 -0.18 0.6606934480076 
0.0020 0.800 4153. 3.85 -0.09 0.8128305161641 
0.0020 0.900 4259. 3.86 -0.00 1 
0.0020 1.000 4350. 3.87 0.07 1.1748975549395 
0.0020 1.100 4432. 3.87 0.14 1.3803842646029 
0.0020 1.200 4508. 3.88 0.20 1.5848931924611 
0.0020 1.300 4581. 3.88 0.26 1.81970085861 
0.0020 1.400 4653. 3.88 0.32 2.089296130854 
