  log t (yr) = 9.7
--------------------------------------------------------------------------------
 m      Teff     g    log L   Mv     Mr     Mi     Mj     Mh     Mk     Ml'     Mm
--------------------------------------------------------------------------------
 0.072 1743.  5.421  -4.21  23.91  20.59  17.65  12.99  12.29  12.18  10.77  11.28
 0.075 2003.  5.393  -3.93  21.89  19.24  16.44  12.27  11.56  11.39  10.29  10.80
 0.080 2313.  5.350  -3.61  19.53  17.54  14.98  11.49  10.82  10.57   9.76  10.22
 0.090 2641.  5.292  -3.27  17.09  15.56  13.40  10.74  10.10   9.81   9.22   9.54
 0.100 2812.  5.251  -3.07  15.86  14.50  12.57  10.31   9.69   9.39   8.89   9.14
 0.110 2921.  5.219  -2.93  15.10  13.84  12.04  10.00   9.40   9.10   8.64   8.85
 0.130 3055.  5.169  -2.73  14.17  13.00  11.37   9.55   8.96   8.66   8.26   8.43
 0.150 3151.  5.133  -2.58  13.51  12.41  10.89   9.21   8.62   8.33   7.96   8.11
 0.175 3235.  5.097  -2.43  12.93  11.87  10.44   8.86   8.28   8.00   7.66   7.79
 0.200 3292.  5.066  -2.31  12.51  11.48  10.10   8.58   8.01   7.73   7.41   7.53
 0.250 3376.  5.013  -2.12  11.87  10.88   9.57   8.12   7.55   7.29   6.99   7.11
 0.300 3436.  4.966  -1.96  11.38  10.42   9.15   7.75   7.18   6.92   6.64   6.76
 0.350 3475.  4.929  -1.84  11.02  10.07   8.82   7.45   6.88   6.63   6.36   6.48
 0.400 3522.  4.888  -1.71  10.65   9.72   8.50   7.16   6.59   6.34   6.09   6.22
 0.450 3582.  4.847  -1.59  10.27   9.36   8.17   6.87   6.30   6.06   5.83   5.96
 0.500 3649.  4.797  -1.46   9.86   8.98   7.83   6.57   5.99   5.77   5.56   5.69
 0.570 3804.  4.728  -1.27   9.19   8.34   7.30   6.12   5.51   5.32   5.17   5.33
 0.600 3893.  4.701  -1.18   8.87   8.04   7.05   5.92   5.29   5.13   5.01   5.18
 0.620 3960.  4.684  -1.12   8.64   7.83   6.89   5.79   5.15   5.01   4.91   5.08
 0.700 4239.  4.618  -0.88   7.73   6.97   6.24   5.28   4.66   4.56   4.52   4.71
 0.750 4460.  4.586  -0.73   7.13   6.41   5.83   4.99   4.41   4.33   4.31   4.48
 0.800 4654.  4.546  -0.59   6.62   5.96   5.46   4.70   4.17   4.11   4.09   4.25
 0.850 4844.  4.500  -0.45   6.15   5.55   5.10   4.40   3.93   3.88   3.87   4.01
 0.900 5044.  4.456  -0.31   5.70   5.17   4.74   4.11   3.70   3.65   3.64   3.76
 0.950 5234.  4.403  -0.17   5.28   4.79   4.40   3.83   3.45   3.41   3.40   3.52
 1.000 5399.  4.338  -0.02   4.88   4.43   4.06   3.53   3.19   3.15   3.15   3.25
 1.050 5551.  4.266   0.12   4.49   4.07   3.72   3.23   2.92   2.88   2.89   2.98
 1.100 5665.  4.188   0.25   4.14   3.73   3.40   2.94   2.64   2.61   2.62   2.70
 1.150 5629.  4.102   0.34   3.91   3.50   3.16   2.69   2.39   2.35   2.36   2.45
