# m teff logL Lum 
0.100 3072. -2.1507034591653 7.068E-03 
0.200 3325. -1.7007106659123 1.992E-02 
0.300 3519. -1.45234834164 3.529E-02 
0.400 3663. -1.2700257143004 5.370E-02 
0.500 3774. -1.116679321617 7.644E-02 
0.600 3876. -0.97510403989252 1.059E-01 
0.700 4008. -0.83120797968582 1.475E-01 
0.800 4227. -0.66494348056091 2.163E-01 
0.900 4632. -0.41612140150137 3.836E-01 
1.000 5231. -0.096367483915762 8.010E-01 
1.100 5628. 0.058805486675907 1.145E+00 
1.200 5870. 0.17464119266045 1.495E+00 
1.300 6090. 0.32633586092875 2.120E+00 
1.400 6409. 0.50324577146511 3.186E+00 
1.500 6852. 0.66067578833852 4.578E+00 
1.600 7275. 0.78254428401001 6.061E+00 
1.700 7702. 0.89647110047928 7.879E+00 
1.800 8126. 1.0013009330204 1.003E+01 
1.900 8507. 1.0989896394012 1.256E+01 
2.000 8889. 1.1903316981703 1.550E+01 
2.200 9564. 1.3583156400822 2.282E+01 
2.500 10469. 1.5800121125294 3.802E+01 
2.700 11032. 1.7119758543518 5.152E+01 
3.000 11797. 1.8920389203413 7.799E+01 
3.500 12872. 2.1547282074402 1.428E+02 
4.000 13969. 2.3832766504077 2.417E+02 
5.000 16170. 2.7703364410951 5.893E+02 
6.000 17710. 3.099335277686 1.257E+03 
7.000 18815. 3.3958503760188 2.488E+03 
