# m teff logL Lum 
0.100 2777. -3.0856568428806 8.210E-04 
0.300 3563. -1.8201610719768 1.513E-02 
0.400 3716. -1.5575202309356 2.770E-02 
0.500 3812. -1.3387553910407 4.584E-02 
0.600 3989. -1.0869282596907 8.186E-02 
0.700 4310. -0.82073553566097 1.511E-01 
0.900 5221. -0.20502425594887 6.237E-01 
1.000 5513. 0.11427729656159 1.301E+00 
1.100 5563. 0.44106640663926 2.761E+00 
1.200 5699. 0.59372899870791 3.924E+00 
1.300 5795. 0.72476724564631 5.306E+00 
1.400 5939. 0.84547013298167 7.006E+00 
1.500 5963. 0.97648753730519 9.473E+00 
1.600 6154. 1.0718820073061 1.180E+01 
1.700 6265. 1.1801258751641 1.514E+01 
1.800 6568. 1.2796669440485 1.904E+01 
1.900 6540. 1.3843534141375 2.423E+01 
2.000 6704. 1.3498600821923 2.238E+01 
2.200 7317. 1.6437486854595 4.403E+01 
2.500 8032. 1.8727388274727 7.460E+01 
2.700 8474. 2.015778756389 1.037E+02 
3.000 9682. 2.1986570869544 1.580E+02 
3.500 10406. 2.431363764159 2.700E+02 
4.000 11284. 2.6998377258672 5.010E+02 
5.000 12614. 3.0941215958406 1.242E+03 
6.000 15382. 3.4072208929274 2.554E+03 
7.000 16955. 3.5845573605257 3.842E+03 
