Job Number, amaxs, amaxw, epsilon, mstar, tstar, rstar, dist, mdot, mdotstar, tshock, alpha, mui, rdisk, temp, altinh, fracolive, fracpyrox, fracforst, fracent, lamaxb, d2g 
1, 3.0, 3.0, 0.001, 1.0, 3850, 3.0, 161, 9e-09, 9e-09, 8000, 0.001, 0.66913, 300, 500, 1, 1, 0, 0, 0, '1mm', 0.0065
2, 3.0, 3.0, 0.001, 1.0, 3850, 3.0, 161, 9e-09, 9e-09, 8000, 0.0015, 0.66913, 300, 500, 1, 1, 0, 0, 0, '1mm', 0.0065
3, 3.0, 3.0, 0.001, 1.0, 3850, 3.0, 161, 9e-09, 9e-09, 8000, 0.002, 0.66913, 300, 500, 1, 1, 0, 0, 0, '1mm', 0.0065
4, 3.0, 3.0, 0.001, 1.0, 3850, 3.0, 161, 9e-09, 9e-09, 8000, 0.0025, 0.66913, 300, 500, 1, 1, 0, 0, 0, '1mm', 0.0065
5, 3.0, 3.0, 0.001, 1.0, 3850, 3.0, 161, 9e-09, 9e-09, 8000, 0.003, 0.66913, 300, 500, 1, 1, 0, 0, 0, '1mm', 0.0065
6, 3.0, 3.0, 0.001, 1.0, 3850, 3.0, 161, 9e-09, 9e-09, 8000, 0.0035, 0.66913, 300, 500, 1, 1, 0, 0, 0, '1mm', 0.0065
7, 3.0, 3.0, 0.001, 1.0, 3850, 3.0, 161, 9e-09, 9e-09, 8000, 0.004, 0.66913, 300, 500, 1, 1, 0, 0, 0, '1mm', 0.0065
8, 3.0, 3.0, 0.001, 1.0, 3850, 3.0, 161, 9e-09, 9e-09, 8000, 0.0045, 0.66913, 300, 500, 1, 1, 0, 0, 0, '1mm', 0.0065
9, 3.0, 3.0, 0.001, 1.0, 3850, 3.0, 161, 9e-09, 9e-09, 8000, 0.005, 0.66913, 300, 500, 1, 1, 0, 0, 0, '1mm', 0.0065
10, 3.0, 3.0, 0.001, 1.0, 3850, 3.0, 161, 9e-09, 9e-09, 8000, 0.0055, 0.66913, 300, 500, 1, 1, 0, 0, 0, '1mm', 0.0065
11, 3.0, 3.0, 0.001, 1.0, 3850, 3.0, 161, 9e-09, 9e-09, 8000, 0.006, 0.66913, 300, 500, 1, 1, 0, 0, 0, '1mm', 0.0065
12, 3.0, 3.0, 0.001, 1.0, 3850, 3.0, 161, 9e-09, 9e-09, 8000, 0.0065, 0.66913, 300, 500, 1, 1, 0, 0, 0, '1mm', 0.0065
13, 3.0, 3.0, 0.001, 1.0, 3850, 3.0, 161, 9e-09, 9e-09, 8000, 0.007, 0.66913, 300, 500, 1, 1, 0, 0, 0, '1mm', 0.0065
14, 3.0, 3.0, 0.001, 1.0, 3850, 3.0, 161, 9e-09, 9e-09, 8000, 0.0075, 0.66913, 300, 500, 1, 1, 0, 0, 0, '1mm', 0.0065
15, 3.0, 3.0, 0.001, 1.0, 3850, 3.0, 161, 9e-09, 9e-09, 8000, 0.008, 0.66913, 300, 500, 1, 1, 0, 0, 0, '1mm', 0.0065
16, 3.0, 3.0, 0.001, 1.0, 3850, 3.0, 161, 9e-09, 9e-09, 8000, 0.0085, 0.66913, 300, 500, 1, 1, 0, 0, 0, '1mm', 0.0065
17, 3.0, 3.0, 0.001, 1.0, 3850, 3.0, 161, 9e-09, 9e-09, 8000, 0.009, 0.66913, 300, 500, 1, 1, 0, 0, 0, '1mm', 0.0065
18, 3.0, 3.0, 0.001, 1.0, 3850, 3.0, 161, 9e-09, 9e-09, 8000, 0.0095, 0.66913, 300, 500, 1, 1, 0, 0, 0, '1mm', 0.0065
19, 3.0, 3.0, 0.001, 1.0, 3850, 3.0, 161, 9e-09, 9e-09, 8000, 0.01, 0.66913, 300, 500, 1, 1, 0, 0, 0, '1mm', 0.0065
